Recipe Name,Total Calories
便捷素食辣椒,3902.685
南瓜牛排,2027.455
南瓜香浓烩饭,1074.47
咖喱饭,2761.2400000000002
土豆咖喱饭,1547.91
培根意大利面,3463.395
奶油芝士白辣椒炖菜,4165.1449999999995
奶油香煎鸡肉配蘑菇,1125.5000000000002
奶香鸡肉抱子甘蓝蘑菇意面,2762.27
意大利面,3119.5449999999996
慢炖西班牙鸡肉饭,4106.32
慢炖鸡肉白豆浓汤,3300.31
沙拉,699.7500000000001
肉沫意大利面煎锅,2028.095
脆皮鸡肉盖饭,453.98999999999995
苹果片,461.14
蒜香凤尾西兰花意面,1457.6200000000001
蔓越莓蜜醋烤鸡腿,1639.2549999999997
蔬香饼,936.15
藜麦牛油果沙拉,2931.81
蘑菇牛排,453.98999999999995
谷物碗,2018.5
轻盈卷心菜汤,1489.158
风味香肠甘蓝土豆汤,3112.2149999999997
香烤鸡肉配烤甜薯,2219.08
香甜蜜烤鸡配烤蔬菜,3234.185
香辣鸡肉羽衣甘蓝玉米饼,2816.895
香醇奶油椒芝士焗,4809.835
鲜虾鱼炖汤,1012.5699999999999
鸡肉碗,1629.5
Easy Vegetarian Chili,'3902.685'
Marry Me Butternut Squash Steaks,'2027.455'
Instant Pot Butternut Squash Risotto,'1074.47'
Vegan Coconut Chickpea Curry,'2761.2400000000002'
One-Pot Potato Curry,'1547.91'
"Spinach, Lima Bean & Crispy Pancetta Pasta",'3463.395'
Creamy White Chili with Cream Cheese,'4165.1449999999995'
Creamy Chicken & Mushrooms,'1125.5000000000002'
"Creamy Chicken, Brussels Sprouts & Mushrooms One-Pot Pasta",'2762.27'
White Bean Soup with Pasta,'3119.5449999999996'
Slow-Cooker Arroz con Pollo (Chicken & Rice),'4106.32'
Slow-Cooker Chicken & White Bean Stew,'3300.31'
Loaded Chicken-Quinoa Salad,'699.7500000000001'
Ground Beef & Pasta Skillet,'2028.095'
Crispy Chicken Rice Bowl,'453.98999999999995'
Mixed Greens with Lentils & Sliced Apple,'461.14'
Garlic-Anchovy Pasta with Broccolini,'1457.6200000000001'
Cranberry-Balsamic Chicken Thighs,'1639.2549999999997'
Black Bean & Slaw Bagel,'936.15'
Quinoa Avocado Salad,'2931.81'
Garlic-Butter Mushroom Steaks,'453.98999999999995'
Vegan Superfood Grain Bowls,'2018.5'
Weight-Loss Cabbage Soup,'1489.158'
"Sausage, Brussels Sprout & Potato Soup",'3112.2149999999997'
Roast Chicken & Sweet Potato,'2219.08'
Hot Honey Roasted Chicken & Vegetables,'3234.185'
Adobo Chicken & Kale Enchiladas,'2816.895'
Creamy White Chili with Cream Cheese,'4809.835'
Shrimp & Fish Stew,'1012.5699999999999'
Meal-Prep Curried Chicken Bowls,'1629.5'
